	Phenotype	Top 5 Latent Factor Indices (ordered by variance component)	Top 1 Variance Component	Top 3 Variance Component	Top 5 Variance Component
882	Median z-statistic (in group-defined amygdala activation mask) for shapes-faces contrast	64, 74, 71, 27, 92	11.33%	29.02%	41.78%
883	Weighted-mean FA in tract inferior longitudinal fasciculus (left)	57, 46, 81, 14, 97	67.02%	87.02%	92.43%
884	Mean FA in superior cerebellar peduncle on FA skeleton (left)	46, 20, 80, 38, 72	18.98%	30.56%	38.73%
885	Median BOLD effect (in group-defined amygdala activation mask) for shapes-faces contrast	64, 74, 71, 27, 92	11.61%	30.14%	41.73%
886	Total fat-free mass	94, 73, 20, 71, 45	94.10%	95.06%	95.76%
887	Weighted-mean FA in tract medial lemniscus (right)	38, 20, 39, 59, 46	12.57%	31.24%	40.85%
888	Weighted-mean FA in tract posterior thalamic radiation (left)	57, 81, 46, 64, 14	35.37%	56.46%	72.40%
889	Weighted-mean FA in tract middle cerebellar peduncle	72, 46, 39, 77, 68	11.54%	28.20%	39.82%
890	Leg tissue fat percentage (right)	1, 17, 27, 79, 94	87.28%	93.24%	94.83%
891	Leg total mass (right)	94, 1, 17, 73, 20	47.58%	88.79%	92.72%
892	Leg fat mass (right)	23, 49, 22, 50, 29	47.65%	96.79%	97.98%
893	Leg lean mass (right)	94, 1, 20, 61, 92	95.97%	97.07%	97.59%
894	Legs tissue fat percentage	1, 17, 94, 20, 13	84.36%	92.79%	94.32%
895	Legs total mass	94, 17, 1, 73, 27	56.11%	91.79%	95.23%
896	Legs fat mass	1, 17, 94, 73, 92	68.86%	95.53%	96.33%
897	Legs lean mass	94, 17, 1, 71, 61	96.74%	97.45%	97.95%
898	Mean FA in genu of corpus callosum on FA skeleton	46, 81, 27, 18, 73	37.65%	75.01%	79.96%
899	Cooked vegetable intake	45, 39, 38, 86, 89	18.35%	38.60%	51.71%
900	Age at cancer diagnosis	23, 78, 20, 2, 38	10.74%	23.78%	33.18%
901	Reported occurrences of cancer	27, 54, 92, 74, 39	49.65%	68.89%	74.89%
902	pericardial problem	23, 79, 49, 82, 27	9.90%	22.95%	34.21%
903	Weighted-mean ISOVF in tract uncinate fasciculus (left)	14, 0, 23, 46, 78	26.37%	46.20%	55.14%
904	other joint disorder	92, 72, 77, 38, 68	23.77%	40.22%	49.09%
905	Mean FA in anterior corona radiata on FA skeleton (left)	46, 81, 57, 0, 97	28.35%	62.68%	77.27%
906	Weighted-mean L2 in tract inferior fronto-occipital fasciculus (right)	57, 81, 97, 46, 14	66.04%	87.07%	96.57%
907	90th percentile of BOLD effect (in group-defined mask) for faces activation	39, 98, 52, 67, 79	58.48%	77.46%	81.12%
908	LV end diastolic volume	30, 2, 68, 82, 23	9.11%	22.82%	33.90%
909	Age hay fever, rhinitis or eczema diagnosed	37, 51, 92, 75, 79	69.51%	82.01%	85.29%
910	Mean ISOVF in posterior thalamic radiation on FA skeleton (right)	0, 1, 13, 17, 23	72.34%	76.07%	79.31%
911	Mean ISOVF in superior corona radiata on FA skeleton (left)	0, 64, 8, 92, 78	84.25%	88.74%	91.10%
912	Mean ISOVF in superior corona radiata on FA skeleton (right)	0, 64, 97, 8, 78	84.64%	88.47%	90.28%
913	Mean ISOVF in posterior corona radiata on FA skeleton (left)	0, 64, 92, 13, 78	84.84%	89.26%	91.21%
914	Mean ISOVF in posterior corona radiata on FA skeleton (right)	0, 64, 92, 8, 78	82.18%	86.46%	88.44%
915	Mean ISOVF in retrolenticular part of internal capsule on FA skeleton (left)	0, 23, 46, 49, 51	24.38%	37.44%	46.80%
916	Mean ISOVF in retrolenticular part of internal capsule on FA skeleton (right)	0, 64, 23, 79, 49	33.72%	49.66%	57.13%
917	Mean ISOVF in anterior corona radiata on FA skeleton (left)	0, 64, 46, 54, 89	78.56%	82.19%	84.72%
918	Mean FA in retrolenticular part of internal capsule on FA skeleton (right)	46, 57, 81, 97, 14	43.31%	71.23%	78.78%
919	Age last used hormone-replacement therapy (HRT)	23, 20, 27, 73, 13	11.33%	22.65%	32.27%
920	Lymphocyte count	31, 40, 19, 42, 86	99.37%	99.61%	99.76%
921	Number of children fathered	72, 39, 82, 8, 2	11.66%	26.65%	35.33%
922	Femur total BMD (bone mineral density) (left)	84, 23, 78, 79, 49	99.19%	99.38%	99.49%
923	Mean FA in posterior limb of internal capsule on FA skeleton (left)	27, 46, 14, 81, 54	17.59%	42.11%	52.39%
924	Volume of grey matter in Inferior Temporal Gyrus, anterior division (right)	23, 48, 38, 49, 85	13.27%	29.63%	40.87%
925	Signal-to-noise-ratio (SNR) of triplet (right)	39, 51, 20, 92, 0	9.34%	24.41%	35.16%
926	Volume of grey matter in Inferior Temporal Gyrus, anterior division (left)	23, 64, 49, 67, 89	10.73%	22.65%	31.68%
927	Femur troch BMD (bone mineral density) (left)	84, 23, 20, 78, 94	98.74%	99.10%	99.28%
928	Tea intake	8, 62, 1, 35, 67	88.70%	90.99%	92.80%
929	Femur upper neck BMD (bone mineral density) T-score (left)	84, 89, 79, 23, 38	21.03%	33.41%	43.49%
930	Dried fruit intake	51, 77, 73, 79, 38	16.96%	34.43%	47.33%
931	Age high blood pressure diagnosed	71, 74, 83, 21, 23	10.20%	29.55%	40.23%
932	Length of menstrual cycle	72, 23, 78, 39, 80	15.14%	30.92%	41.33%
933	Volume of brain, grey+white, normalised for head size	20, 39, 59, 18, 73	10.75%	28.81%	43.22%
934	Volume of white matter	48, 20, 8, 79, 77	85.66%	90.57%	92.69%
935	Volume of white matter (normalised for head size)	20, 73, 48, 18, 39	18.06%	37.18%	50.00%
936	Wheeze or whistling in the chest in last year	37, 51, 64, 0, 80	77.21%	86.55%	88.87%
937	Volume of grey matter (normalised for head size)	73, 20, 39, 59, 18	10.82%	28.79%	41.60%
938	Volume of ventricular cerebrospinal fluid	38, 92, 27, 97, 67	11.21%	26.22%	37.26%
939	Volume of ventricular cerebrospinal fluid (normalised for head size)	38, 27, 92, 97, 77	10.09%	24.37%	34.19%
940	Volume of peripheral cortical grey matter	48, 20, 89, 35, 54	97.73%	98.30%	98.70%
941	Volume of peripheral cortical grey matter (normalised for head size)	73, 39, 20, 59, 18	11.43%	29.76%	44.01%
942	Volumetric scaling from T1 head image to standard space	48, 89, 73, 82, 59	91.78%	94.59%	95.25%
943	Tinnitus severity/nuisance	92, 20, 83, 94, 18	10.12%	23.50%	32.79%
944	Mean corpuscular haemoglobin concentration	55, 72, 43, 79, 23	98.78%	99.42%	99.53%
945	3mm strong meridian (right)	66, 73, 54, 92, 38	92.16%	97.08%	98.10%
946	Weighted-mean ISOVF in tract posterior thalamic radiation (left)	0, 14, 64, 54, 23	19.75%	44.16%	55.57%
947	Sleep duration	98, 52, 71, 99, 90	91.89%	93.84%	94.92%
948	6mm strong meridian (left)	66, 73, 64, 51, 54	90.69%	96.54%	97.42%
949	3mm strong meridian (left)	66, 73, 54, 92, 59	91.53%	96.09%	97.52%
950	Lifetime number of sexual partners	51, 20, 64, 74, 92	19.31%	38.18%	49.09%
951	Weighted-mean L3 in tract superior longitudinal fasciculus (right)	46, 57, 81, 27, 1	51.71%	86.95%	90.48%
952	Weighted-mean L3 in tract superior longitudinal fasciculus (left)	57, 46, 81, 1, 97	35.62%	90.46%	92.96%
953	Weighted-mean L3 in tract superior thalamic radiation (right)	46, 97, 0, 54, 57	43.49%	83.73%	88.20%
954	Immature reticulocyte fraction	56, 95, 36, 93, 10	77.18%	99.12%	99.70%
955	Weighted-mean L3 in tract medial lemniscus (right)	38, 54, 99, 27, 39	72.16%	86.33%	89.23%
956	Weighted-mean MD in tract inferior longitudinal fasciculus (left)	57, 14, 81, 51, 13	70.65%	92.40%	94.48%
957	Weighted-mean L3 in tract posterior thalamic radiation (right)	57, 14, 81, 97, 46	37.49%	64.68%	77.71%
958	Weighted-mean L3 in tract posterior thalamic radiation (left)	57, 14, 64, 59, 81	40.87%	62.27%	75.93%
959	Age glaucoma diagnosed	89, 22, 86, 59, 2	14.69%	30.70%	41.82%
960	Arm fat mass (right)	23, 49, 22, 28, 33	48.11%	95.90%	96.81%
961	Volume of grey matter in VIIIa Cerebellum (right)	54, 99, 35, 51, 80	55.59%	79.46%	83.26%
962	Volume of grey matter in Temporal Occipital Fusiform Cortex (right)	48, 23, 78, 14, 16	33.97%	49.37%	56.75%
963	Minimum carotid IMT (intima-medial thickness) at 240 degrees	23, 78, 49, 79, 27	14.86%	34.11%	42.93%
964	Volume of grey matter in VIIIb Cerebellum (right)	54, 99, 35, 80, 89	50.74%	74.49%	81.78%
965	Age at menopause (last menstrual period)	13, 0, 1, 68, 62	92.47%	94.21%	95.18%
966	Volume of grey matter in Lingual Gyrus (left)	48, 54, 91, 11, 0	52.73%	59.58%	65.11%
967	Minimum carotid IMT (intima-medial thickness) at 120 degrees	23, 8, 78, 86, 92	11.89%	26.88%	36.02%
968	Average weekly fortified wine intake	20, 23, 49, 72, 86	14.12%	29.35%	38.52%
969	Mean ICVF in cerebral peduncle on FA skeleton (left)	81, 14, 46, 0, 89	27.82%	44.68%	55.00%
970	Mean ICVF in cerebral peduncle on FA skeleton (right)	81, 14, 46, 0, 54	27.35%	45.95%	54.60%
971	Average weekly red wine intake	20, 59, 51, 64, 92	34.90%	48.03%	57.44%
972	Number of cigarettes previously smoked daily	80, 27, 35, 54, 13	15.64%	35.91%	47.20%
973	Mean FA in superior cerebellar peduncle on FA skeleton (right)	46, 20, 89, 23, 51	30.24%	48.38%	55.03%
974	Mean FA in fornix on FA skeleton	27, 38, 97, 86, 54	9.01%	21.68%	33.19%
975	Femur upper neck BMD (bone mineral density) (left)	84, 89, 79, 38, 86	13.80%	28.13%	39.21%
976	Mean FA in corticospinal tract on FA skeleton (left)	46, 20, 78, 23, 57	21.95%	40.50%	52.30%
977	Mean FA in corticospinal tract on FA skeleton (right)	89, 23, 14, 78, 82	10.38%	24.81%	34.85%
978	Mean FA in medial lemniscus on FA skeleton (left)	20, 46, 92, 80, 38	49.24%	63.45%	73.12%
979	Mean FA in medial lemniscus on FA skeleton (right)	20, 46, 38, 80, 92	47.25%	61.55%	71.30%
980	Mean FA in inferior cerebellar peduncle on FA skeleton (left)	20, 46, 81, 80, 92	43.19%	59.00%	66.90%
981	Mean FA in inferior cerebellar peduncle on FA skeleton (right)	20, 46, 81, 80, 57	36.26%	55.80%	64.83%
982	Total mass	17, 94, 1, 27, 73	55.41%	94.99%	97.06%
983	Total tissue mass	17, 94, 1, 27, 73	56.93%	95.02%	97.13%
984	Total tissue fat percentage	17, 1, 94, 73, 27	83.85%	96.81%	97.82%
985	Total lean mass	94, 20, 73, 71, 45	93.78%	94.94%	95.68%
986	Trunk total mass	17, 94, 27, 73, 78	81.93%	97.93%	98.38%
987	Trunk tissue fat percentage	17, 94, 73, 45, 27	93.70%	96.53%	97.08%
988	Trunk lean mass	94, 20, 73, 45, 1	87.64%	90.23%	92.32%
989	Weight, manual entry	89, 73, 79, 77, 30	12.36%	26.01%	34.99%
990	White blood cell (leukocyte) count	40, 31, 55, 73, 42	78.56%	90.22%	93.19%
991	VAT (visceral adipose tissue) volume	17, 1, 94, 73, 92	92.01%	96.55%	97.30%
992	VAT (visceral adipose tissue) mass	17, 1, 94, 73, 92	92.06%	96.34%	97.02%
993	Number of treatments/medications taken	83, 71, 10, 52, 22	94.62%	96.35%	97.12%
994	Mean ICVF in superior corona radiata on FA skeleton (left)	81, 97, 14, 51, 57	88.36%	96.05%	96.84%
995	3mm cylindrical power (right)	92, 66, 73, 9, 86	46.70%	59.61%	65.95%
996	6mm cylindrical power (right)	92, 23, 66, 39, 79	38.32%	48.43%	55.06%
997	6mm cylindrical power (left)	92, 73, 18, 23, 59	19.30%	31.31%	42.03%
998	3mm cylindrical power (left)	92, 73, 66, 18, 83	48.36%	61.23%	67.38%
999	6mm index of best keratometry results (left)	23, 78, 85, 63, 49	14.25%	28.02%	37.09%
1000	Lymphocyte percentage	55, 40, 31, 43, 92	85.97%	90.63%	93.65%
1001	Mean ICVF in tapetum on FA skeleton (left)	81, 57, 97, 79, 20	56.58%	72.45%	78.83%
1002	Mean ICVF in tapetum on FA skeleton (right)	81, 57, 20, 14, 97	42.89%	78.03%	85.08%
1003	Weighted-mean ICVF in tract posterior thalamic radiation (left)	81, 57, 46, 14, 20	66.92%	96.03%	96.98%
1004	Weighted-mean ICVF in tract medial lemniscus (right)	14, 81, 20, 0, 51	42.86%	65.81%	77.78%
1005	Weighted-mean ICVF in tract medial lemniscus (left)	14, 81, 20, 0, 51	37.20%	62.17%	73.34%
1006	Weighted-mean ICVF in tract middle cerebellar peduncle	81, 14, 20, 51, 0	23.63%	61.52%	73.04%
1007	Weighted-mean ICVF in tract inferior longitudinal fasciculus (right)	81, 57, 46, 14, 59	72.42%	96.01%	96.97%
1008	Weighted-mean ICVF in tract inferior longitudinal fasciculus (left)	81, 57, 46, 14, 97	73.80%	97.13%	98.49%
1009	Age other serious eye condition diagnosed	89, 22, 86, 72, 62	8.17%	21.80%	32.44%
1010	Weighted-mean MO in tract anterior thalamic radiation (right)	27, 23, 20, 67, 73	13.16%	27.81%	38.89%
1011	Microalbumin in urine	81, 59, 23, 78, 72	14.42%	31.13%	42.71%
1012	Weighted-mean MO in tract acoustic radiation (right)	89, 86, 79, 72, 2	10.48%	28.60%	41.48%
1013	Mean FA in cingulum hippocampus on FA skeleton (right)	46, 14, 57, 17, 23	17.44%	42.09%	52.77%
1014	Weighted-mean MD in tract uncinate fasciculus (right)	14, 97, 57, 39, 46	69.41%	83.55%	86.53%
1015	Mean FA in superior fronto-occipital fasciculus on FA skeleton (left)	97, 46, 89, 23, 54	28.13%	48.15%	57.11%
1016	Volume of grey matter in Middle Temporal Gyrus, temporooccipital part (right)	48, 23, 78, 49, 71	20.12%	39.39%	49.52%
1017	Forced vital capacity (FVC)	7, 96, 3, 16, 5	48.20%	92.70%	95.79%
1018	Anterior thigh lean muscle volume (right)	23, 78, 49, 89, 72	15.12%	34.75%	43.96%
1019	Age sarcoidosis diagnosed by doctor	23, 77, 78, 49, 82	15.71%	34.43%	44.85%
1020	Visceral adipose tissue volume (VAT)	22, 77, 30, 82, 28	11.44%	25.63%	36.39%
1021	Peak expiratory flow (PEF)	3, 7, 44, 65, 16	96.96%	98.13%	98.57%
1022	Anterior thigh lean muscle volume (left)	23, 78, 72, 77, 63	13.63%	27.96%	37.29%
1023	Mean ISOVF in superior fronto-occipital fasciculus on FA skeleton (right)	0, 23, 92, 27, 78	38.75%	51.01%	60.51%
1024	Mean ISOVF in cingulum cingulate gyrus on FA skeleton (left)	0, 20, 73, 64, 23	57.60%	66.12%	72.21%
1025	6mm regularity index (left)	72, 38, 23, 86, 83	10.89%	25.19%	36.38%
1026	Age started hormone-replacement therapy (HRT)	13, 0, 23, 68, 30	42.60%	51.55%	58.01%
1027	Chest pain or discomfort	37, 38, 83, 64, 20	9.59%	25.08%	33.12%
1028	Arm BMD (bone mineral density) (left)	20, 84, 92, 38, 98	65.40%	86.22%	89.62%
1029	Volume of grey matter in Amygdala (left)	48, 54, 23, 99, 80	77.98%	83.36%	85.96%
1030	Mean FA in anterior corona radiata on FA skeleton (right)	46, 81, 57, 0, 92	38.16%	70.78%	82.77%
1031	Weighted-mean ICVF in tract cingulate gyrus part of cingulum (right)	81, 46, 14, 57, 20	49.03%	87.31%	94.37%
1032	Neutrophill percentage	55, 40, 91, 45, 27	92.41%	94.52%	95.38%
1033	Weighted-mean L3 in tract anterior thalamic radiation (right)	97, 81, 46, 0, 14	72.59%	83.65%	89.59%
1034	Weighted-mean ICVF in tract superior longitudinal fasciculus (left)	81, 46, 1, 57, 27	90.75%	95.24%	96.42%
1035	varicose ulcer	23, 79, 78, 49, 62	18.90%	39.04%	50.85%
1036	high cholesterol	10, 72, 27, 54, 92	84.23%	95.58%	96.67%
1037	Weighted-mean ICVF in tract acoustic radiation (left)	81, 57, 14, 46, 0	70.87%	92.69%	94.47%
1038	Weighted-mean ICVF in tract acoustic radiation (right)	81, 14, 57, 0, 46	76.43%	90.83%	92.89%
1039	Weighted-mean ICVF in tract parahippocampal part of cingulum (right)	14, 81, 57, 51, 46	38.81%	72.36%	78.29%
1040	Weighted-mean ICVF in tract cingulate gyrus part of cingulum (left)	81, 46, 57, 14, 20	45.23%	83.48%	93.59%
1041	Mean ICVF in posterior corona radiata on FA skeleton (right)	81, 57, 14, 20, 97	79.02%	91.57%	95.89%
1042	fracture fibula	23, 72, 78, 49, 92	11.77%	22.95%	32.36%
1043	eczema/dermatitis	37, 64, 8, 27, 20	58.35%	67.97%	72.94%
1044	Weighted-mean ICVF in tract corticospinal tract (left)	81, 46, 64, 27, 97	81.73%	87.63%	91.45%
1045	Weighted-mean ICVF in tract corticospinal tract (right)	81, 46, 97, 27, 59	65.90%	84.14%	87.30%
1046	hepatitis a	23, 78, 49, 79, 16	19.26%	41.15%	51.40%
1047	Weighted-mean MO in tract inferior fronto-occipital fasciculus (left)	23, 49, 78, 79, 18	11.51%	26.77%	35.28%
1048	Weighted-mean MO in tract inferior longitudinal fasciculus (right)	79, 67, 23, 49, 78	11.38%	29.20%	42.96%
1049	tennis elbow/lateral epicondylitis	79, 82, 23, 20, 68	6.70%	19.50%	28.68%
1050	Mean platelet (thrombocyte) volume	76, 55, 91, 40, 72	96.96%	99.81%	99.88%
1051	Mean FA in sagittal stratum on FA skeleton (right)	57, 46, 81, 97, 27	54.73%	79.33%	83.18%
1052	Arm BMD (bone mineral density) (right)	20, 84, 92, 38, 62	64.87%	86.02%	89.31%
1053	Mean ICVF in posterior thalamic radiation on FA skeleton (right)	81, 57, 46, 14, 20	56.60%	92.93%	95.66%
1054	Mean FA in posterior corona radiata on FA skeleton (left)	46, 57, 81, 20, 97	31.61%	78.93%	86.39%
1055	Arms BMC (bone mineral content)	20, 84, 94, 92, 64	56.47%	74.32%	82.01%
1056	Mean FA in superior corona radiata on FA skeleton (left)	46, 57, 97, 81, 18	67.84%	77.68%	82.78%
1057	Creatinine (enzymatic) in urine	89, 67, 8, 35, 77	87.40%	92.33%	94.39%
1058	Weighted-mean ISOVF in tract medial lemniscus (right)	38, 54, 99, 27, 39	69.86%	81.68%	87.00%
1059	Position of the pulse wave peak	27, 83, 54, 73, 26	10.67%	26.00%	36.18%
1060	Non-cancer illness year/age first occurred	37, 20, 92, 72, 51	57.84%	66.53%	71.54%
1061	Mean FA in external capsule on FA skeleton (left)	14, 46, 57, 20, 59	40.63%	72.63%	80.91%
1062	motor neurone disease	59, 23, 35, 78, 22	10.32%	23.10%	33.81%
1063	plantar fascitis	23, 79, 49, 82, 27	10.40%	26.61%	38.84%
1064	infectious mononucleosis/glandular fever/epstein barr virus (ebv)	89, 23, 49, 79, 77	12.19%	27.74%	40.21%
1065	fracture nose	20, 72, 23, 79, 49	8.02%	23.67%	36.12%
1066	Age emphysema diagnosed by doctor	77, 71, 3, 67, 82	11.07%	25.26%	35.55%
1067	whooping cough/pertussis	23, 49, 78, 39, 89	10.75%	22.76%	33.71%
1068	cystitis	89, 23, 27, 78, 79	13.18%	31.46%	41.43%
1069	peripheral neuropathy	23, 78, 71, 39, 0	11.36%	28.36%	38.38%
1070	atrial fibrillation	61, 94, 35, 63, 1	99.55%	99.68%	99.71%
1071	sjogren's syndrome/sicca syndrome	78, 58, 23, 27, 1	8.54%	24.43%	37.29%
1072	meningitis	23, 27, 89, 79, 49	9.37%	25.66%	36.55%
1073	head injury	78, 23, 72, 39, 71	9.47%	25.87%	39.52%
1074	crohns disease	80, 64, 39, 92, 27	10.22%	24.26%	36.16%
1075	chronic/degenerative neurological problem	23, 22, 78, 30, 49	9.19%	24.65%	35.49%
1076	obsessive compulsive disorder (ocd)	89, 78, 23, 49, 82	13.40%	32.73%	44.08%
1077	fracture metatarsal	78, 23, 49, 84, 71	12.88%	34.32%	43.64%
1078	vitiligo	23, 78, 49, 30, 58	17.92%	33.15%	39.97%
1079	Total trunk fat	22, 30, 35, 23, 28	10.10%	21.48%	30.74%
1080	Mean ICVF in posterior corona radiata on FA skeleton (left)	81, 57, 14, 20, 97	81.97%	93.06%	95.95%
1081	Mean ICVF in sagittal stratum on FA skeleton (right)	81, 57, 46, 0, 59	60.38%	94.38%	95.35%
1082	Mean ICVF in anterior limb of internal capsule on FA skeleton (left)	81, 97, 14, 46, 64	44.22%	70.00%	77.44%
1083	Volume of grey matter in Amygdala (right)	48, 54, 99, 23, 92	78.74%	88.24%	90.41%
1084	Volume of grey matter in Cuneal Cortex (right)	48, 64, 23, 79, 92	50.53%	59.42%	67.46%
1085	Volume of grey matter in Hippocampus (left)	48, 20, 92, 78, 38	40.79%	57.59%	62.78%
1086	Volume of grey matter in Pallidum (right)	23, 49, 78, 81, 79	22.63%	41.35%	50.15%
1087	Volume of grey matter in Pallidum (left)	23, 89, 79, 49, 54	13.56%	25.71%	35.90%
1088	Volume of grey matter in Putamen (right)	54, 99, 51, 72, 89	24.15%	41.21%	51.79%
1089	Volume of grey matter in Putamen (left)	54, 99, 72, 89, 51	19.98%	38.32%	50.01%
1090	Volume of grey matter in Caudate (right)	48, 54, 51, 38, 92	18.29%	32.55%	45.11%
1091	Volume of grey matter in Caudate (left)	48, 54, 51, 8, 92	12.75%	29.49%	40.75%
1092	Weighted-mean ISOVF in tract superior longitudinal fasciculus (right)	0, 64, 22, 13, 62	88.61%	90.52%	91.88%
1093	Weighted-mean ISOVF in tract superior thalamic radiation (left)	0, 64, 46, 97, 78	90.53%	92.79%	94.21%
1094	Weighted-mean ISOVF in tract posterior thalamic radiation (right)	0, 14, 64, 39, 13	41.90%	57.39%	64.58%
1095	Weighted-mean ISOVF in tract superior longitudinal fasciculus (left)	0, 1, 64, 13, 17	83.41%	87.38%	89.58%
1096	hypothyroidism/myxoedema	58, 83, 75, 19, 20	99.08%	99.28%	99.45%
1097	Weighted-mean ISOVF in tract middle cerebellar peduncle	38, 73, 13, 39, 11	37.21%	53.63%	63.70%
1098	Weighted-mean L1 in tract medial lemniscus (left)	38, 51, 27, 1, 45	43.08%	56.65%	66.39%
1099	Mean ICVF in retrolenticular part of internal capsule on FA skeleton (right)	81, 57, 14, 46, 97	79.53%	94.13%	95.67%
1100	Weighted-mean L1 in tract superior longitudinal fasciculus (right)	97, 0, 46, 81, 14	34.11%	71.98%	81.62%
1101	Mean ICVF in anterior limb of internal capsule on FA skeleton (right)	81, 97, 14, 46, 0	39.03%	69.56%	77.02%
1102	Weighted-mean L3 in tract acoustic radiation (left)	51, 64, 57, 14, 46	35.85%	57.17%	71.47%
1103	Basophill percentage	69, 40, 42, 23, 70	99.60%	99.74%	99.80%
1104	Weighted-mean L1 in tract posterior thalamic radiation (left)	57, 97, 59, 46, 14	25.22%	55.50%	70.22%
1105	Weighted-mean L3 in tract cingulate gyrus part of cingulum (left)	46, 81, 14, 27, 11	57.52%	82.37%	88.72%
1106	Weighted-mean L2 in tract superior longitudinal fasciculus (right)	46, 57, 81, 97, 27	52.48%	79.53%	87.03%
1107	Weighted-mean L3 in tract anterior thalamic radiation (left)	97, 81, 0, 14, 57	68.71%	81.52%	90.57%
1108	Weighted-mean L3 in tract acoustic radiation (right)	59, 46, 20, 1, 27	14.69%	29.94%	42.75%
1109	Volume of grey matter in Lateral Occipital Cortex, superior division (right)	48, 23, 73, 27, 78	59.02%	66.85%	73.57%
1110	Weighted-mean L1 in tract inferior longitudinal fasciculus (left)	57, 14, 97, 81, 13	40.00%	67.09%	76.57%
1111	Age when diabetes-related eye disease diagnosed	77, 8, 72, 1, 3	10.89%	23.22%	31.87%
1112	Weighted-mean L1 in tract inferior fronto-occipital fasciculus (left)	97, 57, 81, 14, 64	22.49%	56.79%	72.01%
1113	Mean ICVF in superior cerebellar peduncle on FA skeleton (left)	81, 46, 27, 14, 1	18.98%	45.02%	52.89%
1114	Weighted-mean L1 in tract medial lemniscus (right)	38, 54, 99, 27, 1	67.33%	80.72%	84.08%
1115	Mean ICVF in inferior cerebellar peduncle on FA skeleton (left)	14, 81, 20, 51, 0	36.45%	69.89%	79.43%
1116	Weighted-mean L1 in tract middle cerebellar peduncle	38, 73, 13, 11, 54	33.87%	55.61%	66.47%
1117	Mean carotid IMT (intima-medial thickness) at 240 degrees	23, 59, 78, 32, 0	10.48%	22.68%	32.47%
1118	Number of pregnancy terminations	72, 23, 78, 64, 39	12.06%	29.62%	39.20%
1119	Volume of grey matter in Parahippocampal Gyrus, anterior division (right)	48, 20, 23, 11, 81	16.45%	34.13%	43.34%
1120	Weighted-mean OD in tract cingulate gyrus part of cingulum (right)	73, 82, 27, 8, 97	10.90%	26.35%	37.01%
1121	Weighted-mean OD in tract corticospinal tract (left)	27, 54, 59, 35, 20	13.15%	29.30%	40.80%
1122	Age angina diagnosed	23, 79, 89, 67, 49	13.15%	24.95%	34.77%
1123	Weighted-mean OD in tract inferior fronto-occipital fasciculus (left)	97, 48, 20, 23, 0	17.49%	35.22%	47.59%
1124	Volume of grey matter in Precuneous Cortex (left)	48, 79, 92, 20, 23	86.61%	89.76%	91.33%
1125	Number of cigarettes currently smoked daily (current cigarette smokers)	80, 27, 23, 67, 39	20.13%	33.27%	41.65%
1126	Pulse wave reflection index	26, 89, 99, 59, 73	18.81%	30.78%	39.37%
1127	Pulse rate	26, 8, 59, 89, 99	70.79%	80.15%	87.01%
1128	Mother's age	74, 20, 64, 71, 86	8.88%	25.87%	38.26%
1129	Age stroke diagnosed	27, 86, 2, 85, 23	11.84%	27.16%	37.98%
1130	Weighted-mean L1 in tract inferior fronto-occipital fasciculus (right)	97, 57, 14, 0, 81	35.62%	66.02%	76.64%
1131	Cascot confidence score	23, 78, 49, 79, 48	15.59%	28.46%	37.36%
1132	Position of pulse wave notch	26, 59, 8, 89, 99	57.92%	71.98%	80.11%
1133	Speech-reception-threshold (SRT) estimate (right)	92, 20, 39, 51, 32	10.98%	26.30%	39.02%
1134	High light scatter reticulocyte count	95, 36, 56, 93, 10	58.49%	98.79%	99.32%
1135	urticaria	79, 49, 23, 78, 77	10.27%	27.97%	39.46%
1136	fracture pelvis	23, 78, 38, 39, 79	13.21%	27.36%	36.74%
1137	Neuroticism score	90, 11, 64, 27, 74	78.11%	98.64%	98.88%
1138	Mean ISOVF in anterior limb of internal capsule on FA skeleton (right)	0, 89, 99, 24, 23	62.30%	70.55%	75.65%
1139	Weighted-mean L2 in tract superior longitudinal fasciculus (left)	46, 57, 81, 97, 27	48.94%	85.58%	90.25%
1140	Weighted-mean L2 in tract medial lemniscus (right)	38, 54, 99, 39, 27	71.94%	86.34%	88.96%
1141	Weighted-mean L2 in tract anterior thalamic radiation (left)	97, 57, 81, 0, 14	71.19%	83.67%	91.40%
1142	Mean ISOVF in middle cerebellar peduncle on FA skeleton	23, 89, 20, 79, 49	10.25%	26.02%	37.51%
1143	Weighted-mean L1 in tract uncinate fasciculus (right)	14, 97, 57, 72, 39	54.24%	83.51%	85.76%
1144	Mean ICVF in anterior corona radiata on FA skeleton (left)	81, 97, 46, 64, 59	88.50%	97.21%	97.72%
1145	Weighted-mean L2 in tract acoustic radiation (right)	59, 46, 20, 1, 64	16.67%	34.45%	46.57%
1146	Mean ICVF in posterior limb of internal capsule on FA skeleton (right)	81, 46, 97, 14, 64	65.83%	78.33%	83.20%
1147	Mean ICVF in posterior limb of internal capsule on FA skeleton (left)	81, 46, 97, 0, 64	67.28%	76.01%	82.24%
1148	Mean ISOVF in medial lemniscus on FA skeleton (left)	38, 72, 14, 23, 39	12.64%	32.83%	43.85%
1149	Weighted-mean L1 in tract superior thalamic radiation (left)	97, 0, 72, 27, 14	41.72%	68.39%	75.10%
1150	logMAR, final (left)	92, 80, 59, 1, 98	67.86%	86.89%	90.20%
1151	Weight	23, 79, 49, 41, 50	34.85%	80.90%	94.56%
